TRADE ID,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
1,AUS,BOP,TOT,MLN_USD,A,1960,-723.7166,
2,AUS,BOP,TOT,MLN_USD,A,1961,-31.26144,
3,AUS,BOP,TOT,MLN_USD,A,1962,-182.6951,
4,AUS,BOP,TOT,MLN_USD,A,1963,-31.43871,
5,AUS,BOP,TOT,MLN_USD,A,1964,-301.5254,
6,AUS,BOP,TOT,MLN_USD,A,1965,-961.7553,
7,AUS,BOP,TOT,MLN_USD,A,1966,-568.6981,
8,AUS,BOP,TOT,MLN_USD,A,1967,-788.7637,
9,AUS,BOP,TOT,MLN_USD,A,1968,-1205.952,
10,AUS,BOP,TOT,MLN_USD,A,1969,-726.5975,
11,AUS,BOP,TOT,MLN_USD,A,1970,-657.0468,
12,AUS,BOP,TOT,MLN_USD,A,1971,-626.9885,
13,AUS,BOP,TOT,MLN_USD,A,1972,713.0101,
14,AUS,BOP,TOT,MLN_USD,A,1973,868.9446,
15,AUS,BOP,TOT,MLN_USD,A,1974,-2520.697,
16,AUS,BOP,TOT,MLN_USD,A,1975,-747.707,
17,AUS,BOP,TOT,MLN_USD,A,1976,-1566.426,
18,AUS,BOP,TOT,MLN_USD,A,1977,-2741.102,
19,AUS,BOP,TOT,MLN_USD,A,1978,-4153.272,
20,AUS,BOP,TOT,MLN_USD,A,1979,-2171.886,
21,AUS,BOP,TOT,MLN_USD,A,1980,-4004.03,
22,AUS,BOP,TOT,MLN_USD,A,1981,-7789.668,
23,AUS,BOP,TOT,MLN_USD,A,1982,-7799.853,
24,AUS,BOP,TOT,MLN_USD,A,1983,-5776.79,
25,AUS,BOP,TOT,MLN_USD,A,1984,-8282.689,
26,AUS,BOP,TOT,MLN_USD,A,1985,-8563.696,
27,AUS,BOP,TOT,MLN_USD,A,1986,-9246.681,
28,AUS,BOP,TOT,MLN_USD,A,1987,-7265.465,
29,AUS,BOP,TOT,MLN_USD,A,1988,-10364.58,
30,AUS,BOP,TOT,MLN_USD,A,1989,-18494,
31,AUS,BOP,TOT,MLN_USD,A,1990,-15718.17,
32,AUS,BOP,TOT,MLN_USD,A,1991,-10664.05,
33,AUS,BOP,TOT,MLN_USD,A,1992,-10370.8,
34,AUS,BOP,TOT,MLN_USD,A,1993,-9362.283,
35,AUS,BOP,TOT,MLN_USD,A,1994,-15973.6,
36,AUS,BOP,TOT,MLN_USD,A,1995,-18914.44,
37,AUS,BOP,TOT,MLN_USD,A,1996,-14718.47,
38,AUS,BOP,TOT,MLN_USD,A,1997,-12403.25,
39,AUS,BOP,TOT,MLN_USD,A,1998,-18663.68,
40,AUS,BOP,TOT,MLN_USD,A,1999,-22541.7,
41,AUS,BOP,TOT,MLN_USD,A,2000,-16283.07,
42,AUS,BOP,TOT,MLN_USD,A,2001,-8471.229,
43,AUS,BOP,TOT,MLN_USD,A,2002,-16163.61,
44,AUS,BOP,TOT,MLN_USD,A,2003,-28751.86,
45,AUS,BOP,TOT,MLN_USD,A,2004,-41460.57,
46,AUS,BOP,TOT,MLN_USD,A,2005,-43540.89,
47,AUS,BOP,TOT,MLN_USD,A,2006,-45839.76,
48,AUS,BOP,TOT,MLN_USD,A,2007,-63536.72,
49,AUS,BOP,TOT,MLN_USD,A,2008,-48829.2,
50,AUS,BOP,TOT,MLN_USD,A,2009,-45903.83,
51,AUS,BOP,TOT,MLN_USD,A,2010,-45616.5,
52,AUS,BOP,TOT,MLN_USD,A,2011,-46565.77,
53,AUS,BOP,TOT,MLN_USD,A,2012,-67382.35,
54,AUS,BOP,TOT,MLN_USD,A,2013,-51185.57,
55,AUS,BOP,TOT,MLN_USD,A,2014,-44703.47,
56,AUS,BOP,TOT,MLN_USD,A,2015,-56951.78,
57,AUS,BOP,TOT,MLN_USD,A,2016,-41411.92,
58,AUS,BOP,TOT,MLN_USD,A,2017,-35474.44,
59,AUS,BOP,TOT,MLN_USD,A,2018,-29104.59,
60,AUS,BOP,TOT,PC_GDP,A,1960,-3.699664,
61,AUS,BOP,TOT,PC_GDP,A,1961,-0.1483678,
62,AUS,BOP,TOT,PC_GDP,A,1962,-0.8635976,
63,AUS,BOP,TOT,PC_GDP,A,1963,-0.1732235,
64,AUS,BOP,TOT,PC_GDP,A,1964,-1.186808,
65,AUS,BOP,TOT,PC_GDP,A,1965,-3.602264,
66,AUS,BOP,TOT,PC_GDP,A,1966,-2.009925,
67,AUS,BOP,TOT,PC_GDP,A,1967,-2.508705,
68,AUS,BOP,TOT,PC_GDP,A,1968,-3.558688,
69,AUS,BOP,TOT,PC_GDP,A,1969,-1.895899,
70,AUS,BOP,TOT,PC_GDP,A,1970,-1.530206,
71,AUS,BOP,TOT,PC_GDP,A,1971,-1.307302,
72,AUS,BOP,TOT,PC_GDP,A,1972,1.262492,
73,AUS,BOP,TOT,PC_GDP,A,1973,1.150954,
74,AUS,BOP,TOT,PC_GDP,A,1974,-2.661924,
